"id","first_name","last_name","email","phone","practice_areas","active","max_cases","current_case_count","created_at","updated_at"
"audit_id","firm_id","actor_user_id","entity_type","entity_id","action","details","created_at"
"id","phone","name","email","total_calls","last_call_at","created_at","updated_at"
"id","conversation_id","agent_id","caller_phone","caller_name","call_duration","transcript","call_successful","metadata","created_at"
"id","practice_area_id","name","code","priority_score","active","created_at"
"contact_id","firm_id","full_name","best_phone","email","mailing_address","dob","alt_contact_name","alt_contact_relation","alt_contact_phone","created_at"
"0436a99a-e8c3-40f8-b6dc-15ead9f28c95","4c16f09c-af95-4b6c-a5d6-6f45d5df9f74","Contact 20","+15553133856","c20@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:44"
"053a0742-1d0d-47c6-a9d2-0a336b6f3d6f","0d24d7f4-0630-4595-82af-51b05833bc64","Contact 6","+15551769769","c6@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:46"
"0a800f87-8243-44f1-b7fd-0c761f0e1275","d041e854-aaf8-4491-a4ac-0dd4d44d4c9c","Contact 6","+15551184219","c6@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:44"
"0ab53d11-e483-4d6d-b960-5008e850f8d5","f9d3effa-d1c9-4d1e-abc8-7c0365c8ddfd","Contact 15","+15556117367","c15@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:48"
"0c17b13f-fa15-43e5-9947-d76ce4ec2a1c","4c16f09c-af95-4b6c-a5d6-6f45d5df9f74","Contact 8","+15554252313","c8@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:43"
"0cd9b1d2-ced2-4d40-a9d0-6b3f88603f36","d041e854-aaf8-4491-a4ac-0dd4d44d4c9c","Contact 12","+15559336794","c12@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:45"
"0e8c56d7-4dfb-4c5a-b2ca-a632f542718f","f9d3effa-d1c9-4d1e-abc8-7c0365c8ddfd","Contact 13","+15553180848","c13@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:48"
"11d077ee-54fe-4ec1-8535-ea1e7b1cf1db","f9d3effa-d1c9-4d1e-abc8-7c0365c8ddfd","Contact 8","+15559297515","c8@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:47"
"12af2530-3720-480d-8ed9-fecb1730eb32","4c16f09c-af95-4b6c-a5d6-6f45d5df9f74","Contact 16","+15557480134","c16@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:44"
"16d1667f-ecf9-40ff-890b-7f06a05cef2a","4c16f09c-af95-4b6c-a5d6-6f45d5df9f74","Contact 10","+15551230173","c10@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:43"
"1a66c556-1e05-4539-884d-42fdd9a0cdcf","0d24d7f4-0630-4595-82af-51b05833bc64","Contact 15","+15559553034","c15@example.com",NULL,NULL,NULL,NULL,NULL,"2025-09-12 02:35:47"
